OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2520,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,659497.45,4200156.69,ST EL PALMAR,20,0,No,41.57,0,0,659497.45,4200156.69
2521,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Alhama de Murcia,640553.47,4190818.9,ST EL POZO,132,0,No,35.25,0,1,640553.47,4190818.9
2522,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,663231.39,4189990.77,ST ELECTRA CORVERA 1,132,0,No,40.85,0,1,663231.39,4189990.77
2523,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,661704.72,4209261.55,ST ESPINARDO,132,0,No,246.63,0,1,661704.72,4209261.55
2524,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,661704.72,4209261.55,ST ESPINARDO,66,0,No,0,0,0,661704.72,4209261.55
2525,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,661704.72,4209261.55,ST ESPINARDO,20,0,No,56.86,0,0,661704.72,4209261.55
2526,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,661704.72,4209261.55,ST ESPINARDO,20,0,No,32.39,0,0,661704.72,4209261.55
2527,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,661704.72,4209261.55,ST ESPINARDO,20,0,No,31.2,0,0,661704.72,4209261.55
2528,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,681098.84,4159472.61,ST FAUSITA,132,0,No,220.15,0,1,681098.84,4159472.61
2529,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,681098.84,4159472.61,ST FAUSITA,66,0,No,23,0,1,681098.84,4159472.61
2530,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,681098.84,4159472.61,ST FAUSITA,20,0,No,12.46,0,0,681098.84,4159472.61
2531,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,681098.84,4159472.61,ST FAUSITA,20,0,No,11.56,0,0,681098.84,4159472.61
2532,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,613503.29,4169456.2,ST HIPICA,132,0,No,5.3,0,0,613503.29,4169456.2
